Starting iterations...
steps: 2074975, episodes: 83000, mean episode reward: 71.03243670774054, time: 112.497
steps: 2099975, episodes: 84000, mean episode reward: 79.44700741968208, time: 113.132
steps: 2124975, episodes: 85000, mean episode reward: 75.10484913542997, time: 111.894
steps: 2149975, episodes: 86000, mean episode reward: 70.09573423612436, time: 111.565
steps: 2174975, episodes: 87000, mean episode reward: 55.85990869707742, time: 112.953
steps: 2199975, episodes: 88000, mean episode reward: 54.36117536218581, time: 112.343
steps: 2224975, episodes: 89000, mean episode reward: 52.39284428709308, time: 112.226
steps: 2249975, episodes: 90000, mean episode reward: 51.37897242144606, time: 113.264
steps: 2274975, episodes: 91000, mean episode reward: 53.99770804216994, time: 112.817
steps: 2299975, episodes: 92000, mean episode reward: 45.04585376395208, time: 112.958
steps: 2324975, episodes: 93000, mean episode reward: 40.4890448507002, time: 111.853
steps: 2349975, episodes: 94000, mean episode reward: 47.47907549807267, time: 112.004
steps: 2374975, episodes: 95000, mean episode reward: 45.893514301052605, time: 113.05
steps: 2399975, episodes: 96000, mean episode reward: 40.36339570444302, time: 113.522
steps: 2424975, episodes: 97000, mean episode reward: 37.338035580185775, time: 112.181
steps: 2449975, episodes: 98000, mean episode reward: 37.724321307318945, time: 111.701
steps: 2474975, episodes: 99000, mean episode reward: 36.45201329306112, time: 112.767
steps: 2499975, episodes: 100000, mean episode reward: 40.15338380518058, time: 113.52
steps: 2524975, episodes: 101000, mean episode reward: 36.20804199524941, time: 111.796
steps: 2549975, episodes: 102000, mean episode reward: 35.69341180008657, time: 112.78
steps: 2574975, episodes: 103000, mean episode reward: 34.30935013510805, time: 113.054
steps: 2599975, episodes: 104000, mean episode reward: 34.470195452403196, time: 112.879
steps: 2624975, episodes: 105000, mean episode reward: 35.250989960012575, time: 112.633
steps: 2649975, episodes: 106000, mean episode reward: 43.16051793748715, time: 112.753
steps: 2674975, episodes: 107000, mean episode reward: 43.87525620115174, time: 111.563
steps: 2699975, episodes: 108000, mean episode reward: 47.28626354288502, time: 112.386
steps: 2724975, episodes: 109000, mean episode reward: 49.44030321941548, time: 113.223
steps: 2749975, episodes: 110000, mean episode reward: 50.78180538009592, time: 112.456
steps: 2774975, episodes: 111000, mean episode reward: 48.25877510694669, time: 112.866
steps: 2799975, episodes: 112000, mean episode reward: 43.00503847608039, time: 112.783
steps: 2824975, episodes: 113000, mean episode reward: 24.520007139288232, time: 112.362
steps: 2849975, episodes: 114000, mean episode reward: 25.326908777506596, time: 112.313
steps: 2874975, episodes: 115000, mean episode reward: 28.16517547755676, time: 112.961
steps: 2899975, episodes: 116000, mean episode reward: 33.717946069751655, time: 112.01
steps: 2924975, episodes: 117000, mean episode reward: 25.677563849231348, time: 112.876
steps: 2949975, episodes: 118000, mean episode reward: 37.1579994900327, time: 111.721
steps: 2974975, episodes: 119000, mean episode reward: 60.843645966590515, time: 114.034
steps: 2999975, episodes: 120000, mean episode reward: 62.73499721326161, time: 112.384
steps: 3024975, episodes: 121000, mean episode reward: 49.565864998531644, time: 112.246
steps: 3049975, episodes: 122000, mean episode reward: 50.40287517786349, time: 113.008
steps: 3074975, episodes: 123000, mean episode reward: 40.96337496946465, time: 112.59
steps: 3099975, episodes: 124000, mean episode reward: 35.795911551500076, time: 113.188
steps: 3124975, episodes: 125000, mean episode reward: 40.005038450263626, time: 111.959
steps: 3149975, episodes: 126000, mean episode reward: 39.27166418745479, time: 112.437
steps: 3174975, episodes: 127000, mean episode reward: 36.6056749888655, time: 112.849
steps: 3199975, episodes: 128000, mean episode reward: 36.14970077888666, time: 112.808
steps: 3224975, episodes: 129000, mean episode reward: 37.96939864171321, time: 112.495
steps: 3249975, episodes: 130000, mean episode reward: 36.04141182990654, time: 113.31
steps: 3274975, episodes: 131000, mean episode reward: 47.17853237507357, time: 112.536
steps: 3299975, episodes: 132000, mean episode reward: 48.80306534234933, time: 112.558
steps: 3324975, episodes: 133000, mean episode reward: 47.75505350186949, time: 112.928
steps: 3349975, episodes: 134000, mean episode reward: 48.26618672642167, time: 113.166
steps: 3374975, episodes: 135000, mean episode reward: 41.886403787990446, time: 113.009
steps: 3399975, episodes: 136000, mean episode reward: 41.52211406376541, time: 112.012
steps: 3424975, episodes: 137000, mean episode reward: 53.776612791881064, time: 113.157
steps: 3449975, episodes: 138000, mean episode reward: 55.643599336626465, time: 112.245
steps: 3474975, episodes: 139000, mean episode reward: 53.24535925617767, time: 114.075
steps: 3499975, episodes: 140000, mean episode reward: 52.285547370365464, time: 113.74
steps: 3524975, episodes: 141000, mean episode reward: 50.61210271794923, time: 113.558
steps: 3549975, episodes: 142000, mean episode reward: 49.8647867878853, time: 112.689
steps: 3574975, episodes: 143000, mean episode reward: 40.60673882381211, time: 112.787
steps: 3599975, episodes: 144000, mean episode reward: 43.48534953551832, time: 113.767
steps: 3624975, episodes: 145000, mean episode reward: 50.61559058751589, time: 113.54
steps: 3649975, episodes: 146000, mean episode reward: 62.81805389386891, time: 113.923
steps: 3674975, episodes: 147000, mean episode reward: 63.11331787994306, time: 112.645
steps: 3699975, episodes: 148000, mean episode reward: 52.96355524126551, time: 113.865
steps: 3724975, episodes: 149000, mean episode reward: 44.748863763814676, time: 113.435
